Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW iX,xDrive40 High Executive | Sport Edition | Sportpakket,2025,5 km,Elektrisch,"108.156,-","1.222,-",https://www.ekris.nl/bmw/p/43209944/bmw-ix-xdrive40-high-executive-43209944,Ekris Nijkerk
BMW iX,xDrive45 | M Sportpakket Pro | Comfort Pack | Innovation Pack,2025,5 km,Elektrisch,"108.826,-","1.230,-",https://www.ekris.nl/bmw/p/45300869/bmw-ix-xdrive45-45300869,Ekris Maastricht
BMW iX,xDrive45 M Sportpakket | M Sportpakket Pro | Comfort Pack icm M Sportpakket | Innovation Pack,2025,5 km,Elektrisch,"108.966,-","1.232,-",https://www.ekris.nl/bmw/p/45493662/bmw-ix-xdrive45-45493662,Ekris Zeist
BMW iX,xDrive45 | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Elektrisch,"109.372,-","1.236,-",https://www.ekris.nl/bmw/p/45435842/bmw-ix-xdrive45-45435842,Ekris Arnhem
BMW 5 Serie,Sedan 520d M-Sportpakket Pro / Trekhaak / Panodak / Adaptief onderstel / Standkachel / Getint glas / Bower & Wilkens / Alu wielen 21 inch,2025,5.000 km,Diesel,"109.900,-","1.447,-",https://www.ekris.nl/bmw/p/45189532/bmw-5-serie-sedan-520d-45189532,Ekris Heerenveen
BMW X5,xDrive40i | M-Sportpakket | LED | HUD | Schuifdak | Trekhaak | Comfortzetels | DAB | Harman-kardon sound | Alu 22 inch,2024,39.000 km,Benzine,"109.900,-","1.497,-",https://www.ekris.nl/bmw/p/44516702/bmw-x5-xdrive40i-44516702,Ekris Heerenveen
BMW X5,xDrive50e M Sportpakket | Exclusive-pakket | Comfort-Plus Pakket | Travel Pack | Sky Lounge | Driving Assistant | Professional,2024,11.724 km,Hybride benzine,"109.900,-","1.497,-",https://www.ekris.nl/bmw/p/45132393/bmw-x5-xdrive50e-45132393,Ekris Heerlen
BMW X6,xDrive 30d | M-Sportpakket | LED | Leder | HUD | Schuifdak | Active cruise | Comfortzetels | DAB | Harman-kardon sound | Alu 22 inch,2024,25.000 km,Diesel,"109.900,-","1.497,-",https://www.ekris.nl/bmw/p/39039260/bmw-x6-xdrive-30d-39039260,Ekris Heerenveen
BMW X3,M50 | M Sportpakket Pro | Premium Pack | Professional Pack | Driving Assistant,2025,8.500 km,Benzine,"109.900,-","1.447,-",https://www.ekris.nl/bmw/p/47141135/bmw-x3-m50-47141135,Ekris Maastricht
BMW X4,xDrive20i | Business Edition Plus | High Executive | M Sport Plus Pack,2025,5 km,Benzine,"109.933,-","1.447,-",https://www.ekris.nl/bmw/p/44952447/bmw-x4-xdrive20i-44952447,Ekris Arnhem
BMW X5,xDrive50e | M-Sportpakket | Innovation Pack | Driving Assistant Professional | Comfort-Stoelen |,2024,7.880 km,Hybride benzine,"109.950,-","1.497,-",https://www.ekris.nl/bmw/p/43480637/bmw-x5-xdrive50e-43480637,Ekris Groningen
BMW 2 Serie,Coupé M240i xDrive M Sportpakket Pro | Innovation Pack | Premium Pack,2025,5 km,Benzine,"110.010,-","1.448,-",https://www.ekris.nl/bmw/p/47011691/bmw-2-serie-coupe-m240i-xdrive-47011691,Ekris Arnhem
BMW 4 Serie,430i xDrive Cabrio | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"110.144,-","1.450,-",https://www.ekris.nl/bmw/p/45493594/bmw-4-serie-430i-xdrive-cabrio-45493594,Ekris Maastricht
BMW XM,PHEV 50e 30 kWh / Trekhaak / Soft Close / Harman Kardon/,2024,14.282 km,Hybride benzine,"110.750,-","1.508,-",https://www.ekris.nl/bmw/p/47011255/bmw-xm-phev-50e-30-kwh-47011255,Ekris Flevoland
BMW iX,xDrive45 | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Elektrisch,"111.067,-","1.255,-",https://www.ekris.nl/bmw/p/44480947/bmw-ix-xdrive45-44480947,Ekris Zeist
BMW 4 Serie,430i xDrive Cabrio M Sportpakket Pro | Innovation Pack | M Sportpakket | Comfort pakket,2025,5 km,Benzine,"111.275,-","1.465,-",https://www.ekris.nl/bmw/p/46057675/bmw-4-serie-430i-xdrive-cabrio-46057675,Ekris Flevoland
BMW 4 Serie,430i xDrive Cabrio | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"111.449,-","1.467,-",https://www.ekris.nl/bmw/p/45492781/bmw-4-serie-430i-xdrive-cabrio-45492781,Ekris Arnhem
BMW 4 Serie Cabrio,430i xDrive | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"111.638,-","1.469,-",https://www.ekris.nl/bmw/p/46628750/bmw-4-serie-cabrio-46628750,Ekris Groningen
BMW X5,xDrive50e | M Sportpakket Pro | Comfort Plus Pakket | Innovation Pack | Travel Pack,2025,21.706 km,Hybride benzine,"111.750,-","1.471,-",https://www.ekris.nl/bmw/p/45962204/bmw-x5-xdrive50e-45962204,Ekris Maastricht
BMW iX,xDrive45 | M Sportpakket | Innovation Pack | Comfort Pack,2025,5 km,Elektrisch,"111.762,-","1.263,-",https://www.ekris.nl/bmw/p/45293177/bmw-ix-xdrive45-45293177,Ekris Arnhem
BMW iX,xDrive45 | M Sportpakket Pro | Comfort Pack | Innovation Pack,2025,5 km,Elektrisch,"111.762,-","1.263,-",https://www.ekris.nl/bmw/p/45301023/bmw-ix-xdrive45-45301023,Ekris Heerlen
BMW iX,xDrive45 | M Sportpakket Pro | Comfort Pack | Innovation Pack,2025,5 km,Elektrisch,"112.168,-","1.268,-",https://www.ekris.nl/bmw/p/47010422/bmw-ix-xdrive45-47010422,Ekris Flevoland
BMW X5,xDrive50e | M-Sportpakket | LED | HUD | Schuifdak | Trekhaak | Comfortzetels | Active cruise | DAB | Harman-kardon sound | Alu 20 inch,2025,19.000 km,Hybride benzine,"112.900,-","1.486,-",https://www.ekris.nl/bmw/p/45303035/bmw-x5-xdrive50e-45303035,Ekris Heerenveen
BMW M4,"Cabrio M4 xDrive Competition M Drive Professional | Adaptief M Onderstel | M Sportdifferentieel | 19""/20""",2023,15.739 km,Benzine,"112.900,-","1.537,-",https://www.ekris.nl/bmw/p/46557468/bmw-m4-cabrio-m4-xdrive-competition-46557468,Ekris Utrecht
